Tulossa,Poistuu,Malli,Numero,Kohteen osoite,Postinumero,Postitoimipaikka,Sijaintipaikan tyyppi,Sijaintipaikka,Aukioloaika,Aukioloaika (lisätiedot),Koordinaatti LAT,Koordinaatti LON
,,O,05297,RUUTINTIE 2,66400,LAIHIA,PANKIN KONTTORI,OP LAIHIA,24 H AUKIOLO,,62.975990,22.011010
,,P,05892,LOUKONTIE 6,66440,TERVAJOKI,LIIKEKIINTEISTÖ,APTEEKKI,24 H AUKIOLO,,63.004363,22.140001
,,O,04215,HEIKKILÄNTIE 1,66500,VÄHÄKYRÖ,LIIKEKIINTEISTÖ,K-MARKET HERKKUPATA,24 H AUKIOLO,,63.054440,22.107680
,,P,05696,KOIVULAHDENTIE 1,66530,KOIVULAHTI,PANKIN KONTTORI,SP KOIVULAHTI,24 H AUKIOLO,,63.160820,21.841030
,,P,05836,VÖYRINTIE 5,66600,VÖYRI,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,63.130000,22.252480
,,P,05935,KOKKOLANTIE 75,66800,ORAVAINEN,LIIKENNEPAIKKA,ABC ORAVAINEN,24 H AUKIOLO,,63.307260,22.384970
,,O+,40313,MYLLYTIE 24,66900,UUSIKAARLEPYY,TAVARATALO,K-SUPERMARKET UUSIKAARLEPYY,LIIKETILAN AUKIOLO,,63.529550,22.539460
,,O,03840,SOLLEFTEÅNKATU 9,66900,UUSIKAARLEPYY,PANKIN KONTTORI,OP UUSIKAARLEPYY,24 H AUKIOLO,,63.521780,22.529580
,,O,05136,ISOKATU 6,67100,KOKKOLA,PANKIN KONTTORI,OP KOKKOLA,24 H AUKIOLO,,63.836478,23.131279
,,O,05154,KAUPPATORI 2,67100,KOKKOLA,LIIKEKIINTEISTÖ,MATKA-TEAM,24 H AUKIOLO,,63.839020,23.134900
,,P,05666,LAIVANVARUSTAJANKATU 1,67100,KOKKOLA,KAUPPAKESKUS,MINIMANI,24 H AUKIOLO,,63.836550,23.109480
,,EP,05627,PITKÄNSILLANKATU 17,67100,KOKKOLA,KAUPPAKESKUS,KALLENTORI,LIIKETILAN AUKIOLO,,63.837800,23.139840
,,T,40107,RANTAKATU 2-4,67100,KOKKOLA,KAUPPAKESKUS,CHYDENIA,LIIKETILAN AUKIOLO,,63.835420,23.133230
,,O,04741,RAUTATIENKATU,67100,KOKKOLA,LIIKEKIINTEISTÖ,K-SUPERMARKET KOKKOLA,24 H AUKIOLO,,63.835810,23.142460
,,O,05094,KATARIINANKATU 29,67200,KOKKOLA,KAUPPA,SALE KOKKOLA LEENALA,24 H AUKIOLO,,63.844346,23.116820
,,O+,40280,MARIANKATU 35,67200,KOKKOLA,KAUPPA,K-MARKET MARIANKATU,24 H AUKIOLO,,63.840400,23.104010
,,P,05660,HEINOLANKAARI 9,67600,KOKKOLA,KAUPPAKESKUS,K-CITYMARKET KOKKOLA,24 H AUKIOLO,,63.827370,23.155840
,,O,05336,HEINOLANKAARI 1,67700,KOKKOLA,LIIKENNEPAIKKA,ABC KOKKOLA,24 H AUKIOLO,,63.827456,23.152425
,,P,05703,PRISMANTIE 1,67700,KOKKOLA,TAVARATALO,PRISMA KOKKOLA,24 H AUKIOLO,,63.831901,23.124389
,,O,04745,MÄNTYNÄÄDÄNKATU 6,67800,KOKKOLA,KAUPPAKESKUS,KOIVUHAAN PALVELUKESKUS,24 H AUKIOLO,,63.826531,23.068275
,,O,04401,RAUMANKARINTIE 1,68100,HIMANKA,PANKIN KONTTORI,OP HIMANKA,24 H AUKIOLO,,64.061828,23.654056
,,O,04043,LOHTAJANTIE 6 B,68230,LOHTAJA,PANKIN KONTTORI,OP LOHTAJA,24 H AUKIOLO,,64.022951,23.507359
,,P,05863,KÄLVIÄNTIE 35,68300,KÄLVIÄ,PANKIN KONTTORI,OP KÄLVIÄ,24 H AUKIOLO,,63.860883,23.415021
,,O,04414,KRUUNUPYYNTIE 8,68500,KRUUNUPYY,PANKIN KONTTORI,OP KRUUNUPYY,24 H AUKIOLO,,63.728385,23.033784
,,O,04637,KAUPPATORI 2,68600,PIETARSAARI,PANKIN KONTTORI,OP PIETARSAARI,24 H AUKIOLO,,63.674280,22.702640
,,P,05911,KOULUKATU 4,68600,PIETARSAARI,TAVARATALO,PRISMA PIETARSAARI,24 H AUKIOLO,,63.677830,22.715540
,,O,04135,KOULUKATU 6,68600,PIETARSAARI,TAVARATALO,K-CITYMARKET PIETARSAARI,LIIKETILAN AUKIOLO,,63.677470,22.714110
,,T,40122,KOULUKATU 6,68600,PIETARSAARI,TAVARATALO,K-CITYMARKET PIETARSAARI,LIIKETILAN AUKIOLO,,63.677280,22.714020
,,O,05144,RAATIHUONEENKATU 6,68600,PIETARSAARI,KAUPPA,K-MARKET PIETARSAARI,24 H AUKIOLO,,63.674420,22.701000
,,O+,40291,VAASANTIE 137,68600,PIETARSAARI,KAUPPA,K-SUPERMARKET JEPPIS,LIIKETILAN AUKIOLO,,63.667090,22.704110
,,O,04961,ETELÄINEN TEERIJÄRVENTIE 13,68700,TEERIJÄRVI,PANKIN KONTTORI,OP TEERIJÄRVI,24 H AUKIOLO,,63.544120,23.511870
,,P,05861,MOTELLITIE 2,68870,EDSEVÖ,HUOLTOASEMA,NESTE EDSEVÖ,24 H AUKIOLO,,63.629697,22.842081
,,O+,40238,VALTAKATU 1,69100,KANNUS,PANKIN KONTTORI,OP KANNUS,24 H AUKIOLO,,63.902420,23.915340
,,O,04878,ULLAVANTIE 1,69300,TOHOLAMPI,PANKIN KONTTORI,OP TOHOLAMPI,24 H AUKIOLO,,63.773630,24.249730
,,P,05878,KAUSTINTIE 3,69600,KAUSTINEN,PANKIN KONTTORI,OP KAUSTINEN,24 H AUKIOLO,,63.547575,23.693372
,,P,05721,KIRKKOTANHUA 1,69700,VETELI,KAUPPA,M-MARKET PASSELI,24 H AUKIOLO,,63.479740,23.785720
,,O,03974,VEHMASSUONTIE 2,69950,PERHO,PANKIN KONTTORI,OP PERHO,24 H AUKIOLO,,63.212728,24.424745
,,EP,05454,PUIJONKATU 21,70100,KUOPIO,TAVARATALO,VIHTORI,LIIKETILAN AUKIOLO,,62.892330,27.679900
,,O,04257,PUIJONKATU 25,70100,KUOPIO,PANKIN KONTTORI,OP KUOPIO,24 H AUKIOLO,,62.893120,27.679680
,,O,05191,PUIJONKATU 25,70100,KUOPIO,PANKIN KONTTORI,OP KUOPIO,24 H AUKIOLO,,62.893120,27.679680
,,T,40042,PUIJONKATU 25,70100,KUOPIO,PANKIN KONTTORI,OP KUOPIO,ITSEPALVELUALUEEN AUKIOLO,ma-pe 7-21.30, la-su klo 7-20,62.893250,27.679560
,,O,04483,SATAMAKATU 36,70100,KUOPIO,KAUPPA,K-MARKET MAKASIINI,24 H AUKIOLO,,62.893620,27.692640
,,P,06013,AJURINKATU 18,70110,KUOPIO,TAVARATALO,CARLSON KUOPIO,24 H AUKIOLO,,62.891210,27.675820
,,P,05791,HAAPANIEMENKATU 30,70110,KUOPIO,LIIKEKIINTEISTÖ,VAKUUTUSYHTIÖ IF,24 H AUKIOLO,,62.893350,27.676630
,,O+,40207,KAUPPAKATU 45,70110,KUOPIO,TAVARATALO,KAUPPAKESKUS APAJA,LIIKETILAN AUKIOLO,,62.891730,27.678540
,,P,05957,MAILATIE 2,70200,KUOPIO,KIOSKI,R-KIOSKI PUIJONLAAKSO,24 H AUKIOLO,,62.902730,27.649200
,,EP,05639,PUIJONLAAKSONTIE 2,70210,KUOPIO,SAIRAALA,KYS/PUIJON SAIRAALA,LIIKETILAN AUKIOLO,,62.896890,27.651053
,,P,05932,PÄIVÄRANNANTIE 18,70420,KUOPIO,KAUPPA,K-CITYMARKET PÄIVÄRANTA,24 H AUKIOLO,,62.932280,27.677230
,,T,40058,PÄIVÄRANNANTIE 18,70420,KUOPIO,KAUPPA,K-CITYMARKET PÄIVÄRANTA,LIIKETILAN AUKIOLO,,62.932710,27.675290
,,P,05716,KALEVALANKATU 23,70500,KUOPIO,LIIKEKIINTEISTÖ,LIIKETILA, KUOPIO,24 H AUKIOLO,,62.900650,27.705230
,,P,05954,TEHDASKATU 19,70620,KUOPIO,KAUPPA,S-MARKET YKKÖSRASTI,24 H AUKIOLO,,62.880926,27.667450
,,P,05764,SAVILAHDENTIE 10,70700,KUOPIO,KAUPPAKESKUS,PRISMA KUOPIO,24 H AUKIOLO,,62.887660,27.632620
,,O+,40284,VOLTTIKATU 4,70700,KUOPIO,TAVARATALO,TOKMANNI,LIIKETILAN AUKIOLO,,62.883380,27.628500
,,T,40060,KOLMISOPENTIE 1,70780,KUOPIO,KAUPPAKESKUS,K-CITYMARKET KOLMISOPPI,LIIKETILAN AUKIOLO,,62.864450,27.612580
,,EP,05553,KOLMISOPENTIE 3,70780,KUOPIO,KAUPPAKESKUS,KOLMISOPPI, ETELÄINEN SISÄÄNKÄYNTI,LIIKETILAN AUKIOLO,,62.865250,27.612430
,,O,03760,RAUHANLAHDENTIE 1,70780,KUOPIO,HUOLTOASEMA,SHELL LEVÄNEN,24 H AUKIOLO,,62.861880,27.620400
,,P,05797,MATKUKSENTIE 60,70800,KUOPIO,TAVARATALO,MATKUS SHOPPING CENTER/K-KAUPAN EDESSÄ,LIIKETILAN AUKIOLO,,62.823640,27.604610
,,EP,05644,RATARINTEENKATU 2,70800,KUOPIO,KAUPPAKESKUS,MATKUS SHOPPING CENTER,LIIKETILAN AUKIOLO,,62.824540,27.605360
,,EP,05569,VITOSTIE 1771,70800,KUOPIO,LIIKENNEPAIKKA,ABC TERRA,LIIKETILAN AUKIOLO,,62.838070,27.608410
,,P,05712,JALKASENKATU 5,70820,KUOPIO,KAUPPA,K-SUPERMARKET PETONEN,24 H AUKIOLO,,62.839450,27.642180
,,O,05299,VÄNRIKINTIE 2,70910,VUORELA,PANKIN KONTTORI,POP VUORELA,24 H AUKIOLO,,62.980693,27.702456
,,O,05230,KESKUSTIE 20,71160,RIISTAVESI,PANKIN KONTTORI,OP RIISTAVESI,24 H AUKIOLO,,62.913966,28.161135
,,O,05300,KESKITIE 26,71200,TUUSNIEMI,PANKIN KONTTORI,OP TUUSNIEMI,24 H AUKIOLO,,62.810580,28.491410
,,O,04801,VEHMERSALMENTIE 34,71310,VEHMERSALMI,PANKIN KONTTORI,OP VEHMERSALMI,24 H AUKIOLO,,62.775689,28.014337
,,O,04410,MAANINGANTIE 31,71750,MAANINKA,PANKIN KONTTORI,OP MAANINKA,24 H AUKIOLO,,63.154976,27.299394
,,T,40059,KUILUNTIE 4,71800,SIILINJÄRVI,KAUPPA,S-MARKET SIILINJÄRVI,LIIKETILAN AUKIOLO,,63.072910,27.660510
,,O,05301,KUILUNTIE 5,71800,SIILINJÄRVI,PANKIN KONTTORI,POP SIILINJÄRVI,24 H AUKIOLO,,63.073125,27.659056
,,O,03757,TORITIE 12,71800,SIILINJÄRVI,PANKIN KONTTORI,OP SIILINJÄRVI,24 H AUKIOLO,,63.074570,27.658630
,,P,05978,KISSAKUUSENTIE 1,72100,KARTTULA,KAUPPA,S-MARKET KARTTULA,24 H AUKIOLO,,62.895380,26.973130
,,O,04049,URHEILUTIE 1,72210,TERVO,PANKIN KONTTORI,OP TERVO,24 H AUKIOLO,,62.954450,26.752850
,,O,04313,KESKUSTIE 7,72300,VESANTO,PANKIN KONTTORI,OP VESANTO,24 H AUKIOLO,,62.930579,26.410338
,,O+,40264,PUISTOTIE 26,72400,PIELAVESI,PANKIN KONTTORI,OP PIELAVESI,24 H AUKIOLO,,63.232350,26.756600
,,O,05302,ÄYRÄPÄÄNTIE 1,72600,KEITELE,PANKIN KONTTORI,OP KEITELE,24 H AUKIOLO,,63.179640,26.352420
,,O+,40209,ASEMATIE 1,73100,LAPINLAHTI,KAUPPA,S-MARKET LAPINLAHTI,LIIKETILAN AUKIOLO,,63.366370,27.391800
,,O,03897,LAPINLAHDENTIE 1,73200,VARPAISJÄRVI,PANKIN KONTTORI,OP VARPAISJÄRVI,24 H AUKIOLO,,63.359350,27.755850
,,O+,40210,NILSIÄNTIE 65,73300,NILSIÄ,PANKIN KONTTORI,OP NILSIÄ,24 H AUKIOLO,,63.203140,28.084800
,,O+,40211,JUANKOSKENTIE 18,73500,JUANKOSKI,PANKIN KONTTORI,OP JUANKOSKI,24 H AUKIOLO,,63.066210,28.330930
,,EP,05475,KAIVOTIE 2,73600,KAAVI,KAUPPA,K-MARKET TIMANTTI,LIIKETILAN AUKIOLO,,62.975420,28.480090
,,P,05893,SAVONTIE 4,73900,RAUTAVAARA,KAUPPAKESKUS,RAUTAVAARAN VIRASTOTALO,24 H AUKIOLO,,63.494510,28.299130
,,P,05720,MEIJERIKATU 3,74100,IISALMI,TAVARATALO,TOKMANNI IISALMI,24 H AUKIOLO,,63.563890,27.186560
,,T,40087,SATAMAKATU 10,74100,IISALMI,KAUPPA,K-SUPERMARKET TORIKULMA,LIIKETILAN AUKIOLO,,63.555810,27.189750
,,P,05951,SAVONKATU 17,74100,IISALMI,PANKIN KONTTORI,OP IISALMI,24 H AUKIOLO,,63.558710,27.189370
,,P,05726,PARKATINTIE 2,74120,IISALMI,TAVARATALO,PRISMA IISALMI,24 H AUKIOLO,,63.574470,27.178850
,,T,40077,PARKATINTIE 2,74120,IISALMI,TAVARATALO,PRISMA IISALMI,LIIKETILAN AUKIOLO,,63.574570,27.179320
,,O,05235,ETELÄNTIE 4,74130,IISALMI,TAVARATALO,K-CITYMARKET IISALMI,24 H AUKIOLO,,63.549920,27.217070
,,O,05304,PETTERINTIE 2,74200,VIEREMÄ,PANKIN KONTTORI,OP YLÄ-SAVO,24 H AUKIOLO,,63.742700,27.002160
,,O,03935,RUTAKONTIE 36,74300,SONKAJÄRVI,PANKIN KONTTORI,OP SONKAJÄRVI,24 H AUKIOLO,,63.668120,27.522960
,,O+,40337,ASEMATIE 10,74700,KIURUVESI,TAVARATALO,K-SUPERMARKET KIURUVESI,24 H AUKIOLO,,63.651260,26.619400
,,O,05305,TORIKATU 6,74700,KIURUVESI,PANKIN KONTTORI,OP YLÄ-SAVO,24 H AUKIOLO,,63.653100,26.618570
,,O,04697,KIRKKOKATU 20,75500,NURMES,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,63.543010,29.137790
,,O,04616,POROKYLÄNKATU 19,75530,NURMES,PANKIN KONTTORI,OP NURMES,24 H AUKIOLO,,63.556160,29.107030
,,T,40117,POROKYLÄNKATU 19,75530,NURMES,PANKIN KONTTORI,OP NURMES,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 5-23,63.556120,29.106840
,,O,04405,KESKUSKATU 38,75700,VALTIMO,PANKIN KONTTORI,OP VALTIMO,24 H AUKIOLO,,63.678459,28.815997
,,O,04785,KAAKINMÄENKATU 10,76100,PIEKSÄMÄKI,KIOSKI,KONTIOKESKUS,24 H AUKIOLO,,62.303170,27.171150
,,O,03827,KAUPPAKATU 2,76100,PIEKSÄMÄKI,PANKIN KONTTORI,OP PIEKSÄMÄKI,24 H AUKIOLO,,62.299937,27.160097
,,O,04373,KESKUSKATU 37,76100,PIEKSÄMÄKI,KAUPPA,TOKMANNI PIEKSÄMÄKI,24 H AUKIOLO,,62.298600,27.149260
,,T,40108,KUKKARONIEMENTIE 3,76100,PIEKSÄMÄKI,TAVARATALO,K-CITYMARKET PIEKSÄMÄKI,LIIKETILAN AUKIOLO,,62.303040,27.164220
,,P,05769,SEUNALANTIE 2,76850,NAARAJÄRVI,KAUPPA,K-MARKET NEILIKKA,24 H AUKIOLO,,62.287680,27.080700
,,P,05829,VIRASTOTIE 2,77330,VIRTASALMI,LIIKEKIINTEISTÖ,LIIKETILA,ITSEPALVELUALUEEN AUKIOLO,,62.133930,27.464440
,,P,05707,KAUPPATIE 5,77570,JÄPPILÄ,LIIKEKIINTEISTÖ,LIIKETILA, JÄPPILÄ,ITSEPALVELUALUEEN AUKIOLO,,62.376400,27.437700
,,O+,40188,RAUTALAMMINTIE 12,77600,SUONENJOKI,PANKIN KONTTORI,OP SUONENJOKI,24 H AUKIOLO,,62.625970,27.119022
,,O+,40227,KUOPIONTIE 32,77700,RAUTALAMPI,PANKIN KONTTORI,OP RAUTALAMPI,24 H AUKIOLO,,62.622540,26.831610
,,O+,40311,KAUPPAKATU 40,78200,VARKAUS,PANKIN KONTTORI,NORDEA VARKAUS,24 H AUKIOLO,,62.315960,27.872550
,,T,40073,KAUPPAKATU 54,78200,VARKAUS,PANKIN KONTTORI,OP VARKAUS,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 6-23,62.317030,27.868310
,,O,04406,KÄSITYÖKATU 21,78200,VARKAUS,KAUPPAKESKUS,PRISMA VARKAUS,24 H AUKIOLO,,62.317170,27.856100
,,EP,05571,KÄSITYÖKATU 21,78200,VARKAUS,TAVARATALO,PRISMA VARKAUS,LIIKETILAN AUKIOLO,,62.317680,27.855600
,,EP,05549,KÄSITYÖKATU 22,78200,VARKAUS,TAVARATALO,TOKMANNI,LIIKETILAN AUKIOLO,,62.317050,27.855050
,,O,04443,RELANDERINKATU 28,78200,VARKAUS,TAVARATALO,K-CITYMARKET VARKAUS,LIIKETILAN AUKIOLO,,62.314730,27.868310
,,EP,05572,KIERTOTIE 2,78210,VARKAUS,HUOLTOASEMA,NESTE WARKAUDENPORTTI,LIIKETILAN AUKIOLO,,62.332360,27.830130
,,O,04948,AHLSTRÖMINKATU 20,78250,VARKAUS,LIIKEKIINTEISTÖ,PÄIVIÖSAARI,24 H AUKIOLO,,62.314747,27.893441
,,O+,40218,AHLSTRÖMINKATU 20,78250,VARKAUS,LIIKEKIINTEISTÖ,PÄIVIÖSAARI,24 H AUKIOLO,,62.314650,27.893100
,,P,05698,KIEVARINKATU 1,79100,LEPPÄVIRTA,PANKIN KONTTORI,OP LEPPÄVIRTA,24 H AUKIOLO,,62.491010,27.792550
,,T,40074,LEPPÄVIRRANTIE 26,79100,LEPPÄVIRTA,KAUPPA,K-SUPERMARKET MONNI,LIIKETILAN AUKIOLO,,62.491410,27.790110
,,O,03724,MUTALANTIE 1,79600,JOROINEN,PANKIN KONTTORI,OMA SP JOROINEN,24 H AUKIOLO,,62.179380,27.826810
,,O+,40226,SUOJALANTIE 2,79700,HEINÄVESI,KAUPPA,S-MARKET HEINÄVESI,24 H AUKIOLO,,62.425390,28.630910
,,P,05695,KAUPPAKATU 16,80100,JOENSUU,TAVARATALO,K-CITYMARKET JOENSUU,24 H AUKIOLO,,62.598140,29.758670
,,P,05728,KAUPPAKATU 30,80100,JOENSUU,KAUPPAKESKUS,METROPOL,24 H AUKIOLO,,62.602910,29.763100
,,P,05964,KOSKIKATU 5,80100,JOENSUU,LIIKEKIINTEISTÖ,CARELICUM,24 H AUKIOLO,,62.599870,29.761510
,,O+,40259,RAATEKANKAANTIE 4,80100,JOENSUU,TAVARATALO,TOKMANNI,24 H AUKIOLO,,62.629190,29.774000
,,EP,05612,SILTAKATU 10,80100,JOENSUU,KAUPPAKESKUS,ISO MYY,LIIKETILAN AUKIOLO,,62.601520,29.762790
,,O,05125,SUVANTOKATU 21,80100,JOENSUU,KAUPPA,K-MARKET SUVANTOKATU,24 H AUKIOLO,,62.600080,29.752170
,,T,40029,TORIKATU 25,80100,JOENSUU,KAUPPAKESKUS,ISOMYY/LIUKUPORT.ALLA,NISKAKADUN PUOLI,LIIKETILAN AUKIOLO,,62.602220,29.763290
,,EP,05651,VOIMATIE 2,80100,JOENSUU,TAVARATALO,PRISMA JOENSUU,LIIKETILAN AUKIOLO,,62.616990,29.778210
,,EP,05652,VOIMATIE 2,80100,JOENSUU,TAVARATALO,PRISMA JOENSUU,LIIKETILAN AUKIOLO,,62.616980,29.778240
,,P,05965,LINJATIE 2,80140,JOENSUU,TAVARATALO,K-CITYMARKET PILKKO,24 H AUKIOLO,,62.628540,29.703650
,,T,40032,LINJATIE 2,80140,JOENSUU,TAVARATALO,K-CITYMARKET PILKKO,LIIKETILAN AUKIOLO,,62.628160,29.703760
,,O,05059,NOLJAKANKAARI 1,80140,JOENSUU,KAUPPAKESKUS,NOLJAKAN OSTOSKESKUS,24 H AUKIOLO,,62.625370,29.693960
,,O,04261,PURONSUUNKATU 1 A,80160,JOENSUU,LIIKEKIINTEISTÖ,RANTAKYLÄ,24 H AUKIOLO,,62.614610,29.813730
,,O,04628,PURONSUUNKATU 1 A,80160,JOENSUU,LIIKEKIINTEISTÖ,RANTAKYLÄ,24 H AUKIOLO,,62.614610,29.813710
,,O,04208,LASINPUHALTAJANTIE 1,80170,JOENSUU,KAUPPA,S-MARKET UTRA,24 H AUKIOLO,,62.619179,29.857831
,,O,04662,SUVIKATU 18,80200,JOENSUU,KAUPPA,S-MARKET NIINIVAARA,24 H AUKIOLO,,62.589634,29.789706
,,P,05842,NIINIVAARANTIE 74,80230,JOENSUU,KAUPPA,K-SUPERMARKET EVÄSKONTTI,24 H AUKIOLO,,62.585120,29.794090
,,O,05223,KETTUVAARANTIE 32,80260,JOENSUU,KAUPPA,K-MARKET POHJANNEITO,24 H AUKIOLO,,62.602930,29.803260
,,EP,05513,YLÄMYLLYNTIE 77,80400,YLÄMYLLY,HUOLTOASEMA,SHELL YLÄMYLLY,LIIKETILAN AUKIOLO,,62.614230,29.542480
,,O+,40286,YLÄMYLLYNTIE 78,80400,YLÄMYLLY,KAUPPAKESKUS,YLÄMYLLYN LIIKEKESKUS,LIIKETILAN AUKIOLO,,62.613340,29.543430
,,O,05029,RUOTTISENAHONKATU 17,80710,LEHMO,LIIKEKIINTEISTÖ,LEHMON LIIKEKESKUS,24 H AUKIOLO,,62.666764,29.796086
,,P,05887,KESKUSKATU 14,81100,KONTIOLAHTI,PANKIN KONTTORI,OP KONTIOLAHTI,24 H AUKIOLO,,62.766143,29.847508
,,O+,40277,NISKANTIE 19,81200,ENO,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,62.799110,30.157610
,,O+,40276,HARJUNRAITTI 17,81280,UIMAHARJU,LIIKEKIINTEISTÖ,APTEEKKI,24 H AUKIOLO,,62.913460,30.253390
,,T,40088,PIELISENTIE 23-25,81700,LIEKSA,KAUPPA,S-MARKET LIEKSA,LIIKETILAN AUKIOLO,,63.318420,30.027080
,,P,05977,PIELISENTIE 34,81700,LIEKSA,TAVARATALO,K-CITYMARKET LIEKSA,24 H AUKIOLO,,63.318420,30.023980
,,P,05734,PIELISENTIE 9,81700,LIEKSA,PANKIN KONTTORI,OP LIEKSA,24 H AUKIOLO,,63.316500,30.031730
,,P,05729,JOENSUUVÄYLÄ 911,82110,HEINÄVAARA,KAUPPA,K-MARJUSKA HEINÄVAARA,24 H AUKIOLO,,62.558552,30.175214
,,P,05950,LASTAUSTIE 1,82200,HAMMASLAHTI,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,62.432550,29.969950
,,O,04283,KINNULANTIE 3,82300,RÄÄKKYLÄ,PANKIN KONTTORI,OP RÄÄKKYLÄ,24 H AUKIOLO,,62.313453,29.625201
,,P,06000,KITEENTIE 3,82500,KITEE,PANKIN KONTTORI,OP KITEE,24 H AUKIOLO,,62.096780,30.144580
,,T,40084,KITEENTIE 6,82500,KITEE,KAUPPAKESKUS,KUPIAINEN,LIIKETILAN AUKIOLO,,62.097040,30.142860
,,O+,40287,KAUPPAKATU 6,82600,TOHMAJÄRVI,KAUPPA,K-MARKET TIILIKAINEN,24 H AUKIOLO,,62.224870,30.331380
,,O,04160,REKIJOENTIE 3,82730,TUUPOVAARA,PANKIN KONTTORI,OP TUUPOVAARA,24 H AUKIOLO,,62.484980,30.617830
,,O+,40208,MANTSINTIE 5,82900,ILOMANTSI,PANKIN KONTTORI,OP ILOMANTSI,24 H AUKIOLO,,62.671570,30.931930
,,O,04072,KESKUSTIE 3,83100,LIPERI,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,62.530850,29.385680
,,O,04038,JOENSUUNTIE,83400,VIINIJÄRVI,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,62.641700,29.226650
,,P,05939,KUMMUNKATU 5,83500,OUTOKUMPU,PANKIN KONTTORI,OP OUTOKUMPU,24 H AUKIOLO,,62.726010,29.015910
,,T,40121,KUMMUNKATU 9,83500,OUTOKUMPU,KAUPPA,K-MARKET CITYKUMPU,LIIKETILAN AUKIOLO,,62.726550,29.014040
,,O+,40203,POLVIJÄRVENTIE 9,83700,POLVIJÄRVI,PANKIN KONTTORI,OP POLVIJÄRVI,24 H AUKIOLO,,62.855470,29.371440
,,P,05976,POIKOLANTIE 2 A,83900,JUUKA,PANKIN KONTTORI,OP JUUKA,24 H AUKIOLO,,63.240260,29.252380
,,O,04425,KOLINTIE 10,83950,AHMOVAARA,LIIKEKIINTEISTÖ,LIIKETILA,24 H AUKIOLO,,63.094190,29.612310
,,P,06022,KAUPPAKATU 11,84100,YLIVIESKA,PANKIN KONTTORI,OP YLIVIESKA,24 H AUKIOLO,,64.074090,24.537000
,,T,40104,OLLILANOJANKATU 2,84100,YLIVIESKA,TAVARATALO,KÄRKKÄINEN,LIIKETILAN AUKIOLO,,64.063010,24.559970
,,O,04857,SAVARINKATU 2,84100,YLIVIESKA,KAUPPA,K-CITYMARKET YLIVIESKA,24 H AUKIOLO,,64.063580,24.551530
,,O,04300,SAVARINKATU 9,84100,YLIVIESKA,TAVARATALO,PRISMA YLIVIESKA,24 H AUKIOLO,,64.062951,24.553176
,,O+,40278,KALAJOENTIE 1,85100,KALAJOKI,TAVARATALO,KAUPPAKESKUS KALAJOEN MERTA,LIIKETILAN AUKIOLO,,64.258540,23.947950
,,O,04781,KALAJOENTIE 36,85100,KALAJOKI,PANKIN KONTTORI,OP KALAJOKI,24 H AUKIOLO,,64.252323,23.954857
,,O+,40292,MATKAILUTIE 312,85100,KALAJOKI,KAUPPAKESKUS,OSTOSKYLÄ RAITTI,LIIKETILAN AUKIOLO,,64.230680,23.817140
,,T,40113,MERENOJANTIE 2,85100,KALAJOKI,KAUPPA,K-SUPERMARKET KALAJOKI,LIIKETILAN AUKIOLO,,64.260590,23.950200
,,O,03977,KESKUSTIE 7,85200,ALAVIESKA,PANKIN KONTTORI,OP ALAVIESKA,24 H AUKIOLO,,64.167096,24.303936
,,O,05307,HAIKOLANTIE 20,85410,SIEVI,PANKIN KONTTORI,POP SIEVI,24 H AUKIOLO,,63.907010,24.519800
,,T,40139,KALLIONTIE 20,85500,NIVALA,PANKIN KONTTORI,OP NIVALA,ITSEPALVELUALUEEN AUKIOLO,klo 5-24,63.929610,24.960700
,,P,05725,KALLIONTIE 26,85500,NIVALA,PANKIN KONTTORI,NORDEA NIVALA,24 H AUKIOLO,,63.928760,24.963870
,,O,04522,PUISTOKATU 35,85800,HAAPAJÄRVI,PANKIN KONTTORI,OP HAAPAJÄRVI,24 H AUKIOLO,,63.750409,25.319829
,,T,40159,STÅLBERGINKATU 1,85800,HAAPAJÄRVI,KAUPPAKESKUS,STOOLPERI,LIIKETILAN AUKIOLO,,63.751980,25.316100
,,O,05280,KIRKKOTIE 8 A,85900,REISJÄRVI,PANKIN KONTTORI,POP REISJÄRVI,24 H AUKIOLO,,63.604760,24.938340
,,O,04156,VANHATIE 48,86100,PYHÄJOKI,PANKIN KONTTORI,OP PYHÄJOKI,24 H AUKIOLO,,64.465000,24.259880
,,O,04075,KESKUSKATU 7,86300,OULAINEN,PANKIN KONTTORI,OP OULAINEN,24 H AUKIOLO,,64.268059,24.816003
,,O+,40187,OULAISTENKATU 15,86300,OULAINEN,KAUPPA,K-SUPERMARKET OULAINEN,24 H AUKIOLO,,64.268585,24.827858
,,O,04100,ASEMATIE 9,86400,VIHANTI,PANKIN KONTTORI,OP VIHANTI,24 H AUKIOLO,,64.486530,24.991330
